feature_id,feature,primary_role,route_family,navigation_owner,route_guard,primary_cta,secondary_actions,data_domain,data_sensitivity,maturity,launch_status,offline_need,analytics_event,deep_link_contract,required_states
OPS-010,Staging / DNS / HTTPS,Admin,Infrastructure,Operations,authenticated:admin,Open Staging / DNS / HTTPS,Context-specific; keep secondary to one primary CTA,operations_audit,Very High,Production V1,Launch gate,read/retry only; sensitive writes require server confirmation,route_view_ops_010,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-001,Scientifically Validated Official CEFR Placement Claims,N/A,N/A,Post-60,not-routable / Post-60,Open Scientifically Validated Official CEFR Placement Claims,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,interruption-safe draft/resume required,route_view_post_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-002,Official IELTS Examiner-equivalent Scoring,N/A,N/A,Post-60,not-routable / Post-60,Open Official IELTS Examiner-equivalent Scoring,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,no sensitive browser persistence; server-resume only,route_view_post_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-003,Robust Phoneme-level Pronunciation Diagnosis,N/A,N/A,Post-60,not-routable / Post-60,Open Robust Phoneme-level Pronunciation Diagnosis,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,no sensitive browser persistence; server-resume only,route_view_post_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-004,Native iOS / Android Apps,N/A,N/A,Post-60,not-routable / Post-60,Open Native iOS / Android Apps,Context-specific; keep secondary to one primary CTA,future_scope,Medium,Post-60 Scale,Do not ship,degraded/empty/offline state required where relevant,route_view_post_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-005,Real-time Multiplayer Games,N/A,N/A,Post-60,not-routable / Post-60,Open Real-time Multiplayer Games,Context-specific; keep secondary to one primary CTA,future_scope,Medium,Post-60 Scale,Do not ship,degraded/empty/offline state required where relevant,route_view_post_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-006,Unrestricted Direct Messaging / Public Chat,N/A,N/A,Post-60,not-routable / Post-60,Open Unrestricted Direct Messaging / Public Chat,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,no sensitive browser persistence; server-resume only,route_view_post_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-007,Webcam Proctoring,N/A,N/A,Post-60,not-routable / Post-60,Open Webcam Proctoring,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,no sensitive browser persistence; server-resume only,route_view_post_007,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-008,Full School ERP / Attendance Management,N/A,N/A,Post-60,not-routable / Post-60,Open Full School ERP / Attendance Management,Context-specific; keep secondary to one primary CTA,future_scope,High,Post-60 Scale,Do not ship,degraded/empty/offline state required where relevant,route_view_post_008,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-009,Copyright-heavy Book Download Catalogue,N/A,N/A,Post-60,not-routable / Post-60,Open Copyright-heavy Book Download Catalogue,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,no sensitive browser persistence; server-resume only,route_view_post_009,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-010,Externally Accredited Certificates,N/A,N/A,Post-60,not-routable / Post-60,Open Externally Accredited Certificates,Context-specific; keep secondary to one primary CTA,future_scope,Very High,Post-60 Scale,Do not ship,no sensitive browser persistence; server-resume only,route_view_post_010,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
POST-011,Large-city Instant Marketplace Promise,N/A,N/A,Post-60,not-routable / Post-60,Open Large-city Instant Marketplace Promise,Context-specific; keep secondary to one primary CTA,future_scope,High,Post-60 Scale,Do not ship,degraded/empty/offline state required where relevant,route_view_post_011,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
